iter,n,K,speed
6,78,1000,11.566043612
6,80,1000,13.849939329
6,82,1000,14.547647831
6,84,1000,19.189974984
6,86,1000,20.53416533
6,88,1000,20.847063743
6,90,1000,21.447947016
6,92,1000,27.933532125
6,94,1000,32.348217209
6,96,1000,31.101698543
6,98,1000,36.46805542
6,100,1000,32.792549784
7,10,1000,0.008832859
7,12,1000,0.022591767
7,14,1000,0.036266719
7,16,1000,0.057114752
7,18,1000,0.068527965
7,20,1000,0.11157622
7,22,1000,0.126763927
7,24,1000,0.283011683
7,26,1000,0.271049449
7,28,1000,0.295362717
7,30,1000,0.472179787
7,32,1000,0.48009445
7,34,1000,0.422054928
7,36,1000,0.819937333
7,38,1000,1.003334764
7,40,1000,1.057890771
7,42,1000,0.961051246
7,44,1000,1.89827836
7,46,1000,1.871453959
7,48,1000,1.875686128
7,50,1000,2.496186025
7,52,1000,2.815981821
7,54,1000,2.652637561
7,56,1000,4.017678773
7,58,1000,3.447594021
7,60,1000,5.027114341
7,62,1000,6.087573523
7,64,1000,6.439763521
7,66,1000,5.311998167
7,68,1000,7.104221277
7,70,1000,9.078229324
7,72,1000,9.514429997
7,74,1000,11.658272853
7,76,1000,11.359518021
7,78,1000,14.525962603
7,80,1000,12.802702036
7,82,1000,15.300734625
7,84,1000,14.625411742
7,86,1000,12.624682417
7,88,1000,16.746646538
7,90,1000,16.477383246
7,92,1000,18.143217908
7,94,1000,23.380810856
7,96,1000,29.079713484
7,98,1000,24.135856843
7,100,1000,27.272739023
8,10,1000,0.023753425
8,12,1000,0.022369614
8,14,1000,0.029865721
8,16,1000,0.065847845
8,18,1000,0.040460101
8,20,1000,0.064823936
8,22,1000,0.152535863
8,24,1000,0.153957179
8,26,1000,0.160589887
8,28,1000,0.238281779
8,30,1000,0.287509269
8,32,1000,0.294181957
8,34,1000,0.305902989
8,36,1000,0.446487823
8,38,1000,0.685703125
8,40,1000,0.835909039
8,42,1000,1.134473836
8,44,1000,1.298248476
8,46,1000,1.317626111
8,48,1000,1.410822083
8,50,1000,1.806024132
8,52,1000,2.760747703
8,54,1000,2.353752602
8,56,1000,2.932457011
8,58,1000,3.258662468
8,60,1000,3.231542802
8,62,1000,3.617499331
8,64,1000,4.592848885
8,66,1000,5.798985435
8,68,1000,5.31583745
8,70,1000,5.234771208
8,72,1000,6.838393072
8,74,1000,9.240441038
8,76,1000,6.647719555
8,78,1000,8.975226394
8,80,1000,11.492464629
8,82,1000,11.598952457
8,84,1000,12.66746891
8,86,1000,14.156089923
8,88,1000,13.642158695
8,90,1000,18.683076959
8,92,1000,18.780144523
8,94,1000,19.866196751
8,96,1000,24.012784776
8,98,1000,29.871671515
8,100,1000,28.412687657
9,10,1000,0.008204395
9,12,1000,0.012330553
9,14,1000,0.014699057
9,16,1000,0.053932265
9,18,1000,0.038920919
9,20,1000,0.111277435
9,22,1000,0.061250109
9,24,1000,0.073283156
9,26,1000,0.176958045
9,28,1000,0.205820241
9,30,1000,0.286913945
9,32,1000,0.538793268
9,34,1000,0.42343914
9,36,1000,0.486821128
9,38,1000,0.686279586
9,40,1000,0.739734549
9,42,1000,0.924587145
9,44,1000,1.301544994
9,46,1000,1.031797659
9,48,1000,1.506757173
9,50,1000,1.861718691
9,52,1000,1.282904174
9,54,1000,2.032098866
9,56,1000,2.410379158
9,58,1000,2.728960562
9,60,1000,3.658994669
9,62,1000,4.560756167
9,64,1000,4.96372043
9,66,1000,4.995842357
9,68,1000,5.172533905
9,70,1000,6.460791236
9,72,1000,7.923287909
9,74,1000,8.13092339
9,76,1000,10.855067751
9,78,1000,9.618724033
9,80,1000,10.098853119
9,82,1000,13.638041196
9,84,1000,13.592501762
9,86,1000,15.389661436
9,88,1000,15.260059469
9,90,1000,16.555369012
9,92,1000,18.429428101
9,94,1000,24.902386737
9,96,1000,27.535560746
9,98,1000,30.390771566
9,100,1000,23.775324221
10,10,1000,0.008877801
10,12,1000,0.013927523
10,14,1000,0.026826751
10,16,1000,0.016178478
10,18,1000,0.062140115
10,20,1000,0.088501389
10,22,1000,0.102054847
10,24,1000,0.150659887
10,26,1000,0.128546668
10,28,1000,0.214099767
10,30,1000,0.252119583
10,32,1000,0.331981602
10,34,1000,0.392898344
10,36,1000,0.43204075
10,38,1000,0.722469206
10,40,1000,0.681287588
10,42,1000,0.921330928
10,44,1000,1.09093596
10,46,1000,1.318273479
10,48,1000,1.023842194
10,50,1000,1.809968179
10,52,1000,1.385243747
10,54,1000,2.640756562
10,56,1000,2.674412161
10,58,1000,3.287629188
10,60,1000,3.414422368
10,62,1000,3.934133085
10,64,1000,5.887080445
10,66,1000,5.31293426
10,68,1000,7.650560837
10,70,1000,6.5644173
10,72,1000,7.037730249
10,74,1000,6.967073788
10,76,1000,8.573272373
10,78,1000,9.05860381
10,80,1000,11.397396817
10,82,1000,9.810634572
10,84,1000,13.421978477
10,86,1000,18.001277241
10,88,1000,16.167721645
10,90,1000,18.256552964
10,92,1000,21.03537387
10,94,1000,22.119178048
10,96,1000,21.509099168
10,98,1000,24.4255694
10,100,1000,24.327338694
11,10,1000,0.006197252
11,12,1000,0.012903974
11,14,1000,0.034342574
11,16,1000,0.045843854
11,18,1000,0.152262941
11,20,1000,0.076393213
11,22,1000,0.127888018
11,24,1000,0.195184859
11,26,1000,0.236698987
11,28,1000,0.201871158
11,30,1000,0.361895577
11,32,1000,0.322599102
11,34,1000,0.484752309
11,36,1000,0.510361399
11,38,1000,0.763421603
11,40,1000,0.727100395
11,42,1000,1.051266495
11,44,1000,1.258373889
11,46,1000,1.529619102
11,48,1000,1.473509881
11,50,1000,1.978064918
11,52,1000,2.494467722
11,54,1000,2.954517812
11,56,1000,2.74604564
11,58,1000,3.652608972
11,60,1000,3.631255597
11,62,1000,3.905957119
11,64,1000,4.298196758
11,66,1000,5.42100516
11,68,1000,6.113171141
11,70,1000,7.011184456
11,72,1000,6.291613351
11,74,1000,8.402223782
11,76,1000,7.959942749
11,78,1000,8.599036417
11,80,1000,12.77604572
11,82,1000,10.280043462
11,84,1000,14.516796311
11,86,1000,15.142958474
11,88,1000,16.734187424
11,90,1000,17.692290327
11,92,1000,19.535140857
11,94,1000,18.090688771
11,96,1000,21.209243169
11,98,1000,18.377928767
11,100,1000,25.201276111
12,10,1000,0.00849391
12,12,1000,0.014890871
12,14,1000,0.009169472
12,16,1000,0.027627642
12,18,1000,0.063851418
12,20,1000,0.057314601
12,22,1000,0.060209907
12,24,1000,0.158147045
12,26,1000,0.210132493
12,28,1000,0.093896689
12,30,1000,0.193653982
12,32,1000,0.168286046
12,34,1000,0.37204556
12,36,1000,0.567527211
12,38,1000,0.245494588
12,40,1000,0.647654892
12,42,1000,0.732453694
12,44,1000,0.792114245
12,46,1000,1.442704689
12,48,1000,1.5028222
12,50,1000,1.513880726
12,52,1000,2.245762836
12,54,1000,2.832419412
12,56,1000,3.119533874
12,58,1000,2.741280031
12,60,1000,3.066085549
12,62,1000,3.119917923
12,64,1000,4.122613971
12,66,1000,4.979509811
12,68,1000,6.059432206
12,70,1000,6.54119765
12,72,1000,6.88478685
12,74,1000,8.874087077
12,76,1000,9.396644572
12,78,1000,8.272209381
12,80,1000,12.169813577
12,82,1000,10.860049986
12,84,1000,12.52328319
12,86,1000,13.946279236
12,88,1000,16.046458582
12,90,1000,17.681158904
12,92,1000,15.836363994
12,94,1000,18.982091446
12,96,1000,22.269749924
12,98,1000,26.996286698
12,100,1000,27.64615002
13,10,1000,0.016359438
13,12,1000,0.018872368
13,14,1000,0.025866498
13,16,1000,0.024576701
13,18,1000,0.084577234
13,20,1000,0.085777769
13,22,1000,0.077392818
13,24,1000,0.117117805
13,26,1000,0.151777598
13,28,1000,0.209105885
13,30,1000,0.257269993
13,32,1000,0.291172242
13,34,1000,0.336934111
13,36,1000,0.385393904
13,38,1000,0.505871394
13,40,1000,0.78602332
13,42,1000,0.632933109
13,44,1000,0.840573254
13,46,1000,1.445076623
13,48,1000,1.223179344
13,50,1000,1.430578452
13,52,1000,1.5070128
13,54,1000,2.256212047
13,56,1000,5.114164688
13,58,1000,10.020896322
13,60,1000,6.977090957
13,62,1000,13.144213559
13,64,1000,7.018207048
13,66,1000,7.089973672
13,68,1000,5.926807565
13,70,1000,6.731763822
13,72,1000,7.527343529
13,74,1000,9.034445774
13,76,1000,9.066608587
13,78,1000,10.495521069
13,80,1000,9.777377435
13,82,1000,11.976612498
13,84,1000,9.260070388
13,86,1000,15.693803634
13,88,1000,16.748239746
13,90,1000,20.520248031
13,92,1000,18.269449022
13,94,1000,22.865434409
13,96,1000,26.382450475
13,98,1000,27.625787729
13,100,1000,27.07955253
14,10,1000,0.008781321
14,12,1000,0.008503839
14,14,1000,0.016701602
14,16,1000,0.105121867
14,18,1000,0.054401702
14,20,1000,0.065082302
14,22,1000,0.072997337
14,24,1000,0.117920474
14,26,1000,0.232681411
14,28,1000,0.119328405
14,30,1000,0.142206213
14,32,1000,0.304150829
14,34,1000,0.285714541
14,36,1000,0.454480631
14,38,1000,0.603471216
14,40,1000,0.633563262
14,42,1000,0.89878556
14,44,1000,1.194834054
14,46,1000,1.247625951
14,48,1000,1.167699108
14,50,1000,1.592639052
14,52,1000,1.468575601
14,54,1000,1.908755333
14,56,1000,2.326701894
14,58,1000,2.63175135
14,60,1000,4.655197507
14,62,1000,3.413251517
14,64,1000,4.331074367
14,66,1000,4.541295338
14,68,1000,4.880557234
14,70,1000,4.400185536
14,72,1000,6.219744242
14,74,1000,6.148594496
14,76,1000,7.279740343
14,78,1000,8.704014536
14,80,1000,9.026088805
14,82,1000,9.162122421
14,84,1000,9.141642103
14,86,1000,13.772767516
14,88,1000,12.230612641
14,90,1000,15.649516013
14,92,1000,14.704868255
14,94,1000,18.558807169
14,96,1000,20.483468147
14,98,1000,23.68586165
14,100,1000,23.341056855
15,10,1000,0.00327273
15,12,1000,0.012719444
15,14,1000,0.025950714
15,16,1000,0.091666446
15,18,1000,0.04690537
15,20,1000,0.065297457
15,22,1000,0.068849792
15,24,1000,0.079173512
15,26,1000,0.179364425
15,28,1000,0.148811743
15,30,1000,0.284785766
15,32,1000,0.31631375
15,34,1000,0.375806791
15,36,1000,0.440409536
15,38,1000,0.430373842
15,40,1000,0.557446628
15,42,1000,0.695709633
15,44,1000,1.030522767
15,46,1000,1.073740761
15,48,1000,1.380928035
15,50,1000,1.07735732
15,52,1000,1.801490461
15,54,1000,2.243377393
15,56,1000,2.118556738
15,58,1000,2.217895069
15,60,1000,3.142606645
15,62,1000,3.431596311
15,64,1000,3.859020468
15,66,1000,4.357225363
15,68,1000,5.19976088
15,70,1000,7.322186219
15,72,1000,9.141698396
15,74,1000,9.02268713
15,76,1000,9.563253399
15,78,1000,11.584593684
15,80,1000,11.987567781
15,82,1000,12.135845383
15,84,1000,14.766427802
15,86,1000,12.96970903
15,88,1000,15.846660666
15,90,1000,18.350343068
15,92,1000,17.457960398
15,94,1000,17.514498806
15,96,1000,22.879459821
15,98,1000,23.44443265
15,100,1000,30.523414388
16,10,1000,0.008153399
16,12,1000,0.009161634
16,14,1000,0.027965501
16,16,1000,0.039662577
16,18,1000,0.039612745
16,20,1000,0.070652142
16,22,1000,0.078576801
16,24,1000,0.199951374
16,26,1000,0.150192983
16,28,1000,0.138043615
16,30,1000,0.384277915
16,32,1000,0.311050361
16,34,1000,0.499622973
16,36,1000,0.362155762
16,38,1000,0.512893279
16,40,1000,0.761105485
16,42,1000,0.92384987
16,44,1000,1.157610059
16,46,1000,1.381618334
16,48,1000,1.441914085
16,50,1000,1.678078709
16,52,1000,1.610372137
16,54,1000,2.47994152
16,56,1000,3.076931731
16,58,1000,3.252177567
16,60,1000,3.147558747
16,62,1000,3.979906639
16,64,1000,3.831004396
16,66,1000,4.549337677
16,68,1000,6.071832054
16,70,1000,6.959493817
16,72,1000,6.339379415
16,74,1000,7.642478878
16,76,1000,9.665150148
16,78,1000,10.552638441
16,80,1000,11.370523734
16,82,1000,11.254458269
16,84,1000,14.926286819
16,86,1000,14.725838704
16,88,1000,15.607102971
16,90,1000,18.949266449
16,92,1000,19.614482948
16,94,1000,23.696048865
16,96,1000,23.815711292
16,98,1000,24.355707965
16,100,1000,26.746472996
17,10,1000,0.008900514
17,12,1000,0.012482278
17,14,1000,0.018182667
17,16,1000,0.03942701
17,18,1000,0.043809466
17,20,1000,0.068723431
17,22,1000,0.075961625
17,24,1000,0.147857125
17,26,1000,0.145061744
17,28,1000,0.254328001
17,30,1000,0.190165554
17,32,1000,0.374255455
17,34,1000,0.37265754
17,36,1000,0.427878673
17,38,1000,0.637064161
17,40,1000,0.713213249
17,42,1000,0.615594892
17,44,1000,0.76050554
17,46,1000,1.298165786
17,48,1000,1.56129433
17,50,1000,1.498897496
