iter,n,K,M,speed,max_previous_assortments,worst_case_revenue
8,20,80,16,10.511002954,6131.75569742044,6496.534022617565
8,20,80,17,87.21447964,5314.508040686586,5478.729846972648
8,20,80,18,18.040010304,5588.944697815536,5652.984335764479
8,20,80,19,43.051155042,6245.837751527637,6433.2291943893015
8,20,80,20,9.212928995,5359.667614225849,6313.934088204293
9,20,80,2,0.365328326,4793.657703836336,4793.657703836339
9,20,80,3,0.239563554,4132.926006299636,4132.926006299634
9,20,80,4,11.805775352,4154.173386281806,4208.684302086683
9,20,80,5,6.278822985,4372.616713397438,4384.978843854102
9,20,80,6,3.581841211,6735.8827758396055,6735.882775839606
9,20,80,7,10.312332849,4813.93914878444,4936.75595859303
9,20,80,8,13.584804622,6601.827022089842,6601.827022089841
9,20,80,9,36.634480854,3684.5213138510285,3697.368916836288
9,20,80,10,7.1653837,6193.077650645546,6398.972256365259
9,20,80,11,18.154156793,4636.127229221471,4677.031584237949
9,20,80,12,12.9389028,5106.014097929248,5106.014097929259
9,20,80,13,4.060206985,5720.732400516352,6015.163425488552
9,20,80,14,15.655702152,5327.824620717605,5773.603427261458
9,20,80,15,9.254165755,6806.892108715794,6908.769213184191
9,20,80,16,35.037984666,5159.168368494541,5272.567934490671
9,20,80,17,30.182142021,5294.000564540892,5401.804260715339
9,20,80,18,16.792246403,4472.346895119656,4489.437149922894
9,20,80,19,23.933292391,6468.505460938771,6468.505460938771
9,20,80,20,13.399287914,5492.396842268611,5549.543171801813
10,20,80,2,0.479620407,4464.371248378614,4464.371248378629
10,20,80,3,4.755786411,5391.606690330342,5391.606690330342
10,20,80,4,2.134762344,6942.879917109589,6963.439954750503
10,20,80,5,14.187152053,5101.681392515772,5101.681392515771
10,20,80,6,6.347690104,5584.561024406765,5584.561024406769
10,20,80,7,7.563734822,5403.145647311527,5403.145647311525
10,20,80,8,11.436625632,5200.822233880063,5258.705099361226
10,20,80,9,10.987938042,4428.823852528099,4513.905686991907
10,20,80,10,4.977375571,5999.493491014155,5999.493491014163
10,20,80,11,18.679744336,4576.957722166185,4588.961104300045
10,20,80,12,29.841425533,4078.7777930721004,4131.941211913869
10,20,80,13,9.566290528,6004.89303349814,6212.338459874102
10,20,80,14,7.551923206,7039.274633119112,7153.331295931839
10,20,80,15,21.415473843,4971.425360110927,5006.947399765625
10,20,80,16,20.509187069,4328.161136283933,4367.218450155533
10,20,80,17,14.737596616,4940.642054154003,5082.323677725962
10,20,80,18,6.304551963,6325.468521915742,6479.813451468583
10,20,80,19,48.669510799,6756.603788953977,6890.5151065905675
10,20,80,20,79.403239835,5233.527503501092,5327.625889175794
