iter,max_previous_assortment,best_case_revenue,upper_bound,n,time,rev_ordered
62,5542.335197140023,6243.9969691366905,6777.993119097578,10,0.65919034,rev_ordered
62,5137.494545134203,7886.908272279948,7432.233992953882,10,0.651910911,reverse_rev_ordered
62,5332.846301764845,9135.834428227585,8204.890930372218,15,2.180133735,other
63,4528.856206392154,5360.656210353251,5722.30516179671,10,0.605815076,rev_ordered
63,5208.646932449275,8368.6051861372,8091.864031041566,10,0.677642803,reverse_rev_ordered
63,5286.2842450352855,8510.037546279262,8037.295994937537,15,2.406339484,other
64,6476.929249942655,6849.349055076346,7319.653809297978,10,0.637836924,rev_ordered
64,3128.6811583496647,6809.010783313765,5654.723590273681,10,0.613713758,reverse_rev_ordered
64,5394.760371386644,8622.86107790987,7804.308928034515,15,2.229848477,other
65,7615.033614275089,7812.574948833561,8078.074383772023,10,0.631793534,rev_ordered
65,3908.0895117043992,6147.186104383605,5678.371088231736,10,0.640892075,reverse_rev_ordered
65,4119.520977981168,7681.788227277421,7087.160994910461,15,2.320930723,other
66,8126.368894621445,8448.432757765111,8886.318691737188,10,0.680281729,rev_ordered
66,5818.781278889237,8742.63015915223,8063.459230634107,10,0.598272021,reverse_rev_ordered
66,5323.416927689438,9407.975468998364,8263.337194923139,15,2.151825445,other
67,5340.133338780765,6063.172761305339,6574.330075257453,10,0.625114323,rev_ordered
67,4944.267155249155,8946.37626115526,8074.239421729293,10,0.593081297,reverse_rev_ordered
67,4311.485038262861,8964.956651839171,7897.966015773459,15,2.143279418,other
68,7009.189552352623,7101.041962760581,7570.496854788452,10,0.712822705,rev_ordered
68,4960.783422757188,8108.889051225089,7482.742383828116,10,0.701159082,reverse_rev_ordered
68,4974.524061010505,8884.670405594774,8215.257067780909,15,2.29042815,other
69,5991.684219332855,6477.2291491403885,7273.70502174103,10,0.597599272,rev_ordered
69,3651.3621168996683,5749.263416797853,5614.478825467736,10,0.569208447,reverse_rev_ordered
69,5333.297407555364,8103.645693567857,7462.091160870794,15,2.090226786,other
70,7428.597963847563,7929.603179167597,8117.56400432474,10,0.606225987,rev_ordered
70,4232.643201202605,6813.539365602142,6075.171544020971,10,0.566807261,reverse_rev_ordered
70,5284.308737244834,8885.23039005024,8279.939154035295,15,2.19201192,other
71,7329.665583694325,7473.315281280996,7707.934023412472,10,0.626339023,rev_ordered
71,4796.769773448562,8650.898669198274,7972.7911065511935,10,0.652126828,reverse_rev_ordered
71,3668.6314798640537,8660.150127197703,7320.508308761079,15,2.088072203,other
72,5802.555364837044,6226.755437402827,6789.047481966364,10,0.620776772,rev_ordered
72,5405.31633247748,7448.943164504079,6632.32370955444,10,0.612705834,reverse_rev_ordered
72,5560.873746792197,8397.075496897805,7784.134596882051,15,2.318355936,other
73,4886.983231350628,5387.936340923563,5867.942693305543,10,0.676653804,rev_ordered
73,6251.2150838093685,9161.526795167372,8579.18371466471,10,0.657879561,reverse_rev_ordered
73,5233.389179413958,8895.240360830912,7932.688522796329,15,2.327628892,other
74,5649.539438041524,5874.557004471,6447.815775843397,10,0.619484712,rev_ordered
74,3007.0764003338713,4958.567100745397,4238.653863472137,10,0.595102964,reverse_rev_ordered
74,5203.4436374659335,8005.052542101721,7522.33746566626,15,2.115785848,other
75,6772.609394303161,7143.272925846753,7578.303938480036,10,0.636281888,rev_ordered
75,6015.896562187089,8129.441775273099,7461.429851510791,10,0.64092216,reverse_rev_ordered
75,6089.862031704851,9891.131568380673,8864.200461920449,15,2.179395217,other
76,6678.871253539287,7135.871259629353,7471.696072780599,10,0.604045046,rev_ordered
76,5096.412975029666,7673.425507083524,7217.761643215945,10,0.594425276,reverse_rev_ordered
76,4654.24214411763,8851.207782174026,8347.898902501545,15,2.300115945,other
77,7741.221343868445,7926.1251318909835,8427.187661310072,10,0.653584238,rev_ordered
77,5576.526114177925,8208.125191677906,7837.922709518318,10,0.587789888,reverse_rev_ordered
77,5226.357471343982,8193.07898074337,7557.901470229329,15,2.1839281,other
78,7090.744002190645,7542.6805629305,7965.200055746931,10,0.627637862,rev_ordered
78,6083.505817934916,8308.015927643402,8152.590437165851,10,0.577485956,reverse_rev_ordered
78,3786.4321242279834,7198.976930138808,6620.569719254125,15,2.378505021,other
79,5121.377148082493,5316.6592804007005,5971.405609657106,10,0.624248192,rev_ordered
79,6091.30876525675,9498.086376823156,9087.969458485912,10,0.587522854,reverse_rev_ordered
79,3222.287842842413,6506.159779538976,5630.7559212656415,15,1.979876505,other
80,6192.502646432582,6396.571693636603,6583.34247509101,10,0.586544647,rev_ordered
80,4773.969941265357,7753.347475926688,6996.174818897807,10,0.544052131,reverse_rev_ordered
80,6114.5764813343085,9170.633341327653,8582.23755960346,15,2.118883968,other
81,7451.568660413741,7756.363392857174,8301.32853269647,10,0.698121253,rev_ordered
81,4486.920810152898,6573.991859596812,6309.357831550431,10,0.605441302,reverse_rev_ordered
81,5319.8915151499805,7011.056707033018,6534.082194325187,15,2.288340931,other
82,6977.5223280019445,7107.061103836561,7837.928738174928,10,0.678480928,rev_ordered
82,3675.1408260396033,6554.539523326925,5703.235396381335,10,0.635223958,reverse_rev_ordered
82,5226.402802265541,8405.403248772285,7930.760901147199,15,2.248308627,other
83,6213.027814494926,6440.037231013583,6952.8907600949615,10,0.631699538,rev_ordered
83,5221.952143062709,8192.657138214032,7463.647189926525,10,0.612766758,reverse_rev_ordered
83,4567.141870278774,8830.933226514124,7912.527563873877,15,2.13156963,other
84,6766.713184125298,7052.889516937273,7565.285539009439,10,0.662412233,rev_ordered
84,4443.21158071961,8121.180583176134,7548.612470145541,10,0.566349175,reverse_rev_ordered
84,6563.461079781,9250.175006829371,8576.945715206704,15,2.162633917,other
85,6576.833282273223,7131.111686167065,7621.477513878756,10,0.705334539,rev_ordered
85,4638.114243083654,8133.557584427226,7547.376971350191,10,0.623204395,reverse_rev_ordered
85,3390.8062104941714,7909.1907202306165,6794.504286412407,15,2.180832876,other
86,7631.819253936982,8173.164304373455,8621.030155008637,10,0.598747275,rev_ordered
86,4670.285441266184,6786.747624932497,6256.2641625144515,10,0.604420766,reverse_rev_ordered
86,4390.719748760622,7925.004157004192,7155.3447423872085,15,2.283867188,other
87,7470.208011105384,7726.745937960532,8133.192974753089,10,0.637019831,rev_ordered
