iter,max_previous_assortment,optimal_worst_case_revenue,fraction,worst_case_revenue,best_case_revenue,n,rev_ordered
1,6844.033067047243,6844.033067047244,0.25,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.26,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.27,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.28,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.29,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.3,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.31,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.32,4275.285474013137,7054.994966290706,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.33,4275.285474013137,7054.994966290705,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.34,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.35,4275.285474013137,7054.9949662906865,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.36,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.37,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.38,4275.285474013137,7054.994966290719,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.39,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.4,4275.285474013137,7054.994966290705,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.41,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.42,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.43,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.44,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.45,4275.285474013137,7054.9949662907975,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.46,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.47,4275.285474013137,7054.994966290716,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.48,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.49,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.5,4275.285474013137,7054.994966290633,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.51,4275.285474013137,7054.9949662907065,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.52,4275.285474013137,7054.994966290705,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.53,4275.285474013137,7054.994966290705,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.54,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.55,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.56,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.57,4275.285474013137,7054.994966290796,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.58,4275.285474013137,7054.9949662907875,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.59,4275.285474013137,7054.994966290705,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.6,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.61,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.62,4275.285474013137,7054.994966290779,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.63,4766.597619902564,7048.6019817332735,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.64,4766.597619902564,7048.6019817332735,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.65,4766.597619902564,7048.601981733273,10,rev_ordered
